"","MLUSE_old","MLUSE_new"
"98","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"99","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"100","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"101","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"102","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"103","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"104","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"105","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"106","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"107","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"108","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"109","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"110","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"111","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"112","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"113","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"114","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"115","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"116","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"117","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"118","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"119","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"120","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"121","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"122","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"123","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"124","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"125","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"126","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"127","Single Family Residential Suburban (before)","Undefined (after)"
"128","Undefined (before)","Undefined (after)"
"129","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"130","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"131","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"132","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"133","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
